Cdid;Cdname;Caption;Mcaption;Cdgrp;Cdidx;Cdval;Ftag;Visible;App
21020907;VILLAGE;Krang Krachang;"{""en"":""Krang Krachang"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;7;21020907;;1;ncbsCbs
21020908;VILLAGE;Kruos;"{""en"":""Kruos"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;8;21020908;;1;ncbsCbs
21021000;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021000;;1;ncbsCbs
21021001;VILLAGE;Prey Sva;"{""en"":""Prey Sva"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;1;21021001;;1;ncbsCbs
21021002;VILLAGE;Krouch;"{""en"":""Krouch"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;2;21021002;;1;ncbsCbs
21021003;VILLAGE;Krang Pou;"{""en"":""Krang Pou"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;3;21021003;;1;ncbsCbs
18030101;VILLAGE;Phum Muoy;"{""en"":""Phum Muoy"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;1;18030101;;1;ncbsCbs
21021005;VILLAGE;Chambak;"{""en"":""Chambak"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;5;21021005;;1;ncbsCbs
21021006;VILLAGE;Pot Sar;"{""en"":""Pot Sar"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;6;21021006;;1;ncbsCbs
21021007;VILLAGE;Tang Ruessei;"{""en"":""Tang Ruessei"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;7;21021007;;1;ncbsCbs
21021008;VILLAGE;Kleang Sambatt;"{""en"":""Kleang Sambatt"",""vi"":"""",""lo"":"""",""km"":""??????????????"",""mn"":""""}";CTM;8;21021008;;1;ncbsCbs
21021009;VILLAGE;Kandaol;"{""en"":""Kandaol"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;9;21021009;;1;ncbsCbs
21021010;VILLAGE;Khvan Meas;"{""en"":""Khvan Meas"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;10;21021010;;1;ncbsCbs
21021011;VILLAGE;Khla Koun;"{""en"":""Khla Koun"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;11;21021011;;1;ncbsCbs
21021100;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021100;;1;ncbsCbs
21021101;VILLAGE;Champa;"{""en"":""Champa"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;1;21021101;;1;ncbsCbs
21021102;VILLAGE;Tram Khnar;"{""en"":""Tram Khnar"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;2;21021102;;1;ncbsCbs
21021103;VILLAGE;Trapeang Ruessei;"{""en"":""Trapeang Ruessei"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;3;21021103;;1;ncbsCbs
21021104;VILLAGE;Samraong;"{""en"":""Samraong"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;4;21021104;;1;ncbsCbs
21021105;VILLAGE;Prohaek;"{""en"":""Prohaek"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;5;21021105;;1;ncbsCbs
21021106;VILLAGE;Trapeang Chhuk;"{""en"":""Trapeang Chhuk"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;6;21021106;;1;ncbsCbs
21021107;VILLAGE;Cheung Kout;"{""en"":""Cheung Kout"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;7;21021107;;1;ncbsCbs
21021108;VILLAGE;Phnum Touch;"{""en"":""Phnum Touch"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;8;21021108;;1;ncbsCbs
21021200;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021200;;1;ncbsCbs
21021201;VILLAGE;Prey Kdei;"{""en"":""Prey Kdei"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;1;21021201;;1;ncbsCbs
21021202;VILLAGE;Angk Kralanh;"{""en"":""Angk Kralanh"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;2;21021202;;1;ncbsCbs
21021203;VILLAGE;Ampeae Tum;"{""en"":""Ampeae Tum"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;3;21021203;;1;ncbsCbs
21021204;VILLAGE;Rovieng;"{""en"":""Rovieng"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;4;21021204;;1;ncbsCbs
21021205;VILLAGE;Prey Kray;"{""en"":""Prey Kray"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;5;21021205;;1;ncbsCbs
21021206;VILLAGE;Phsar Kump Ruessei;"{""en"":""Phsar Kump Ruessei"",""vi"":"""",""lo"":"""",""km"":""???????????????"",""mn"":""""}";CTM;6;21021206;;1;ncbsCbs
21021207;VILLAGE;Samraong Chrey;"{""en"":""Samraong Chrey"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;7;21021207;;1;ncbsCbs
21021208;VILLAGE;Tuol Lhong;"{""en"":""Tuol Lhong"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;8;21021208;;1;ncbsCbs
21021209;VILLAGE;Neal;"{""en"":""Neal"",""vi"":"""",""lo"":"""",""km"":""???"",""mn"":""""}";CTM;9;21021209;;1;ncbsCbs
21021210;VILLAGE;Tang Doung;"{""en"":""Tang Doung"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;10;21021210;;1;ncbsCbs
21021300;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021300;;1;ncbsCbs
21021301;VILLAGE;Tnaot;"{""en"":""Tnaot"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;1;21021301;;1;ncbsCbs
21021302;VILLAGE;Rumchek;"{""en"":""Rumchek"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;2;21021302;;1;ncbsCbs
21021303;VILLAGE;Ta Nob;"{""en"":""Ta Nob"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;3;21021303;;1;ncbsCbs
21021304;VILLAGE;Ta Non;"{""en"":""Ta Non"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;4;21021304;;1;ncbsCbs
21021305;VILLAGE;Thmei;"{""en"":""Thmei"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;5;21021305;;1;ncbsCbs
21021306;VILLAGE;Pey;"{""en"":""Pey"",""vi"":"""",""lo"":"""",""km"":""??"",""mn"":""""}";CTM;6;21021306;;1;ncbsCbs
20030800;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;20030800;;1;ncbsCbs
21021308;VILLAGE;Chheu Teal;"{""en"":""Chheu Teal"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;8;21021308;;1;ncbsCbs
21021400;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021400;;1;ncbsCbs
21021401;VILLAGE;Trapeang Krasang;"{""en"":""Trapeang Krasang"",""vi"":"""",""lo"":"""",""km"":""??????????????"",""mn"":""""}";CTM;1;21021401;;1;ncbsCbs
21021402;VILLAGE;Thlok;"{""en"":""Thlok"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;2;21021402;;1;ncbsCbs
21021403;VILLAGE;Roleang;"{""en"":""Roleang"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;3;21021403;;1;ncbsCbs
21021404;VILLAGE;Trapeang Prich;"{""en"":""Trapeang Prich"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;4;21021404;;1;ncbsCbs
21021405;VILLAGE;Kandal;"{""en"":""Kandal"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;5;21021405;;1;ncbsCbs
21021406;VILLAGE;Trapeang Kieb;"{""en"":""Trapeang Kieb"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;6;21021406;;1;ncbsCbs
21021407;VILLAGE;Tnaot Chrum;"{""en"":""Tnaot Chrum"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;7;21021407;;1;ncbsCbs
21021408;VILLAGE;Kou Duol;"{""en"":""Kou Duol"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;8;21021408;;1;ncbsCbs
21021409;VILLAGE;Rumduol;"{""en"":""Rumduol"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;9;21021409;;1;ncbsCbs
21021410;VILLAGE;Mreah Prov;"{""en"":""Mreah Prov"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;10;21021410;;1;ncbsCbs
21021411;VILLAGE;Trapeang Thum;"{""en"":""Trapeang Thum"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;11;21021411;;1;ncbsCbs
21021412;VILLAGE;Yeam Khau;"{""en"":""Yeam Khau"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;12;21021412;;1;ncbsCbs
21021413;VILLAGE;Tuek Thla;"{""en"":""Tuek Thla"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;13;21021413;;1;ncbsCbs
21021414;VILLAGE;Roka Pok;"{""en"":""Roka Pok"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;14;21021414;;1;ncbsCbs
21021415;VILLAGE;Tram Sasar;"{""en"":""Tram Sasar"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;15;21021415;;1;ncbsCbs
21021416;VILLAGE;Boeng Ponhea Kuk;"{""en"":""Boeng Ponhea Kuk"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;16;21021416;;1;ncbsCbs
21021417;VILLAGE;Trapeang Chamkar;"{""en"":""Trapeang Chamkar"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;17;21021417;;1;ncbsCbs
21021500;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21021500;;1;ncbsCbs
21021501;VILLAGE;Pun Phnum;"{""en"":""Pun Phnum"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;1;21021501;;1;ncbsCbs
21021503;VILLAGE;Trapeang Tuem;"{""en"":""Trapeang Tuem"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;3;21021503;;1;ncbsCbs
21021504;VILLAGE;Roka Khpos;"{""en"":""Roka Khpos"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;4;21021504;;1;ncbsCbs
21021505;VILLAGE;Khsach Lob;"{""en"":""Khsach Lob"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;5;21021505;;1;ncbsCbs
21021506;VILLAGE;Roleang Kreul;"{""en"":""Roleang Kreul"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;6;21021506;;1;ncbsCbs
21021507;VILLAGE;Chak;"{""en"":""Chak"",""vi"":"""",""lo"":"""",""km"":""??"",""mn"":""""}";CTM;7;21021507;;1;ncbsCbs
21021508;VILLAGE;Trapeang Sab;"{""en"":""Trapeang Sab"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;8;21021508;;1;ncbsCbs
21021509;VILLAGE;Ta Su;"{""en"":""Ta Su"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;9;21021509;;1;ncbsCbs
21021510;VILLAGE;Sangkae;"{""en"":""Sangkae"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;10;21021510;;1;ncbsCbs
21021511;VILLAGE;Smau Khnhei;"{""en"":""Smau Khnhei"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;11;21021511;;1;ncbsCbs
21021512;VILLAGE;A Cheang;"{""en"":""A Cheang"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;12;21021512;;1;ncbsCbs
21021513;VILLAGE;Prech;"{""en"":""Prech"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;13;21021513;;1;ncbsCbs
21021514;VILLAGE;Sdok Prei;"{""en"":""Sdok Prei"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;14;21021514;;1;ncbsCbs
21021515;VILLAGE;Daeum Kray;"{""en"":""Daeum Kray"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;15;21021515;;1;ncbsCbs
21030100;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21030100;;1;ncbsCbs
21030101;VILLAGE;Angk Krouch;"{""en"":""Angk Krouch"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;1;21030101;;1;ncbsCbs
21030102;VILLAGE;Snay Duoch;"{""en"":""Snay Duoch"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;2;21030102;;1;ncbsCbs
21030103;VILLAGE;Kampong Ampil;"{""en"":""Kampong Ampil"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;3;21030103;;1;ncbsCbs
21030104;VILLAGE;Anlong Nien;"{""en"":""Anlong Nien"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;4;21030104;;1;ncbsCbs
21030105;VILLAGE;k'aek yum;"{""en"":""k'aek yum"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;5;21030105;;1;ncbsCbs
21030106;VILLAGE;Daeum Kor;"{""en"":""Daeum Kor"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;6;21030106;;1;ncbsCbs
21030107;VILLAGE;Preaek Khsach;"{""en"":""Preaek Khsach"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;7;21030107;;1;ncbsCbs
21030200;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21030200;;1;ncbsCbs
21030201;VILLAGE;Sangkae Chuor;"{""en"":""Sangkae Chuor"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;1;21030201;;1;ncbsCbs
21030202;VILLAGE;Chey Chouk;"{""en"":""Chey Chouk"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;2;21030202;;1;ncbsCbs
21030203;VILLAGE;Kouk Panhcha;"{""en"":""Kouk Panhcha"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;3;21030203;;1;ncbsCbs
21030204;VILLAGE;Anhchanh;"{""en"":""Anhchanh"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;4;21030204;;1;ncbsCbs
21030205;VILLAGE;Dei Leuk;"{""en"":""Dei Leuk"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;5;21030205;;1;ncbsCbs
21030206;VILLAGE;Tara Kom;"{""en"":""Tara Kom"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;6;21030206;;1;ncbsCbs
21030207;VILLAGE;Banteay Sloek;"{""en"":""Banteay Sloek"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;7;21030207;;1;ncbsCbs
21030300;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21030300;;1;ncbsCbs
21030301;VILLAGE;Ta Sai;"{""en"":""Ta Sai"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;1;21030301;;1;ncbsCbs
21030302;VILLAGE;Souphi;"{""en"":""Souphi"",""vi"":"""",""lo"":"""",""km"":""????"",""mn"":""""}";CTM;2;21030302;;1;ncbsCbs
21030303;VILLAGE;Roteh Phluk;"{""en"":""Roteh Phluk"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;3;21030303;;1;ncbsCbs
21030304;VILLAGE;Trapeang Tonle;"{""en"":""Trapeang Tonle"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;4;21030304;;1;ncbsCbs
21030305;VILLAGE;Ach Tonsay;"{""en"":""Ach Tonsay"",""vi"":"""",""lo"":"""",""km"":""???????????"",""mn"":""""}";CTM;5;21030305;;1;ncbsCbs
21030306;VILLAGE;Doung Khpos;"{""en"":""Doung Khpos"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;6;21030306;;1;ncbsCbs
21030307;VILLAGE;Ta Ros;"{""en"":""Ta Ros"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;7;21030307;;1;ncbsCbs
21030308;VILLAGE;Ta Yueng;"{""en"":""Ta Yueng"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;8;21030308;;1;ncbsCbs
21030309;VILLAGE;Traeuy Khlouk;"{""en"":""Traeuy Khlouk"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;9;21030309;;1;ncbsCbs
21030310;VILLAGE;Angkanh;"{""en"":""Angkanh"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;10;21030310;;1;ncbsCbs
21030311;VILLAGE;Chrey Ngouk;"{""en"":""Chrey Ngouk"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;11;21030311;;1;ncbsCbs
21030312;VILLAGE;Prey Mlob;"{""en"":""Prey Mlob"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;12;21030312;;1;ncbsCbs
21030400;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21030400;;1;ncbsCbs
21030401;VILLAGE;Borei Cholsar;"{""en"":""Borei Cholsar"",""vi"":"""",""lo"":"""",""km"":""?????????"",""mn"":""""}";CTM;1;21030401;;1;ncbsCbs
20051501;VILLAGE;Svay Chek;"{""en"":""Svay Chek"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;1;20051501;;1;ncbsCbs
21030402;VILLAGE;Kampong Krasang;"{""en"":""Kampong Krasang"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;2;21030402;;1;ncbsCbs
21030403;VILLAGE;Kdol Chrum;"{""en"":""Kdol Chrum"",""vi"":"""",""lo"":"""",""km"":""??????????"",""mn"":""""}";CTM;3;21030403;;1;ncbsCbs
21030405;VILLAGE;Thma Bei Dom;"{""en"":""Thma Bei Dom"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;5;21030405;;1;ncbsCbs
21030500;VILLAGE;Other;"{""en"":""Other"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;0;21030500;;1;ncbsCbs
21030501;VILLAGE;Kandaol;"{""en"":""Kandaol"",""vi"":"""",""lo"":"""",""km"":""??????"",""mn"":""""}";CTM;1;21030501;;1;ncbsCbs
21030502;VILLAGE;Pong Tuek;"{""en"":""Pong Tuek"",""vi"":"""",""lo"":"""",""km"":""?????"",""mn"":""""}";CTM;2;21030502;;1;ncbsCbs
21030503;VILLAGE;Chrey Kouk Pou;"{""en"":""Chrey Kouk Pou"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;3;21030503;;1;ncbsCbs
21030504;VILLAGE;Prey Mul;"{""en"":""Prey Mul"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;4;21030504;;1;ncbsCbs
21030505;VILLAGE;Prey Hiev;"{""en"":""Prey Hiev"",""vi"":"""",""lo"":"""",""km"":""???????"",""mn"":""""}";CTM;5;21030505;;1;ncbsCbs
21030506;VILLAGE;Neak Ta Tbal;"{""en"":""Neak Ta Tbal"",""vi"":"""",""lo"":"""",""km"":""????????????"",""mn"":""""}";CTM;6;21030506;;1;ncbsCbs
21030507;VILLAGE;Kampong Youl;"{""en"":""Kampong Youl"",""vi"":"""",""lo"":"""",""km"":""????????"",""mn"":""""}";CTM;7;21030507;;1;ncbsCbs
